Body	Mass(kg)	Diameter(m)	Density(kg/m3)	Gravity(m/s2)	EscapeVelocity(m/s)	RotationPeriod(s)	LengthofDay(s)	DistancefromSun(m)	Perihelion(m)	Aphelion(m)	OrbitalPeriod(s)	OrbitalVelocity(m/s)	OrbitalInclination(degrees)	OrbitalEccentricity	ObliquitytoOrbit(degrees)	MeanTemperature(K)	Color
SUN	1.99E+30	6.96E+08	1408	274	6.18E+05	2.19E+06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0	5772	ffffff
MERCURY	3.30E+23	4.88E+06	5429	3.7	4.30E+03	5.07E+06	1.52E+07	5.79E+10	4.60E+10	6.98E+10	7.60E+06	4.74E+04	7	0.206	0.034	465	bdbdbd
VENUS	4.87E+24	1.21E+07	5243	8.9	1.04E+04	-2.10E+07	1.01E+07	1.08E+11	1.08E+11	1.09E+11	1.94E+07	3.50E+04	3.4	0.007	177.4	762	feb24c
EARTH	5.97E+24	1.28E+07	5514	9.8	1.12E+04	8.60E+04	8.64E+04	1.50E+11	1.47E+11	1.52E+11	3.16E+07	2.98E+04	0	0.017	23.4	313	31a354
MARS	6.42E+23	6.79E+06	3934	3.7	5.00E+03	8.86E+04	8.89E+04	2.28E+11	2.07E+11	2.49E+11	5.94E+07	2.41E+04	1.8	0.094	25.2	278	ff9d6f
JUPITER	1.90E+27	1.43E+08	1326	23.1	5.95E+04	3.56E+04	3.56E+04	7.79E+11	7.41E+11	8.16E+11	3.74E+08	1.31E+04	1.3	0.049	3.1	233	8c2d04
SATURN	5.68E+26	1.21E+08	687	9	3.55E+04	3.85E+04	3.85E+04	1.43E+12	1.36E+12	1.51E+12	9.29E+08	9.70E+03	2.5	0.052	26.7	188	fee391
URANUS	8.68E+25	5.11E+07	1270	8.7	2.13E+04	-6.19E+04	6.19E+04	2.87E+12	2.73E+12	3.00E+12	2.64E+09	6.80E+03	0.8	0.047	97.8	158	ace5ee
NEPTUNE	1.02E+26	4.95E+07	1638	11	2.35E+04	5.80E+04	5.80E+04	4.52E+12	4.47E+12	4.56E+12	5.17E+09	5.40E+03	1.8	0.01	28.3	103	2171b5
PLUTO	1.30E+22	2.38E+06	1850	0.7	1.30E+03	-5.52E+05	5.52E+05	5.91E+12	4.44E+12	7.38E+12	7.82E+09	4.70E+03	17.2	0.244	122.5	98	f6e8c3
MOON	7.30E+22	3.48E+06	3340	1.6	2.40E+03	2.36E+06	2.55E+06	3.84E+08	3.63E+08	4.06E+08	2.36E+06	1.00E+03	5.1	0.055	6.7	73	636363
